#Network,Station,Location,Channel,Latitude,Longitude,Elevation,Depth,Azimuth,Dip,SensorDescription,Scale,ScaleFreq,ScaleUnits,SampleRate,StartTime,EndTime
BL,AQDA,10.0,SHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/10/1),86785600.0,1.0,M/S,10.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,10.0,SHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/10/32),2777140000.0,1.0,M/S,10.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,50.0,BHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,50.0,BHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/50/1),86785600.0,1.0,M/S,50.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,50.0,BHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,50.0,BHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,50.0,BHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/50/1),86785600.0,1.0,M/S,50.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,50.0,BHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,50.0,BHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,50.0,BHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/50/1),86785600.0,1.0,M/S,50.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,50.0,BHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,50.0,SHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,50.0,SHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/50/1),86785600.0,1.0,M/S,50.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,50.0,SHE,-20.48,-55.7,155.0,0.0,90.0,0.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,50.0,SHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,50.0,SHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/50/1),86785600.0,1.0,M/S,50.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,50.0,SHN,-20.48,-55.7,155.0,0.0,0.0,0.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDA,50.0,SHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2004-06-23T20:38:00,2004-10-19T21:14:00
BL,AQDA,50.0,SHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/50/1),86785600.0,1.0,M/S,50.0,2004-10-19T22:20:00,2005-05-17T14:48:00
BL,AQDA,50.0,SHZ,-20.48,-55.7,155.0,0.0,0.0,-90.0,L4C(L4C)/REFTEK(RT24/50/32),2777140000.0,1.0,M/S,50.0,2005-05-17T15:28:00,2007-03-03T15:15:00
BL,AQDB,None,HHE,-20.47579,-55.69971,158.0,0.0,90.0,0.0,"Trillium 120P, 120 s, 1201 V/m/s",480399000.0,1.0,M/S,100.0,2011-07-20T00:00:00,None
BL,AQDB,None,HHN,-20.47579,-55.69971,158.0,0.0,0.0,0.0,"Trillium 120P, 120 s, 1201 V/m/s",480399000.0,1.0,M/S,100.0,2011-07-20T00:00:00,None
BL,AQDB,None,HHZ,-20.47579,-55.69971,158.0,0.0,0.0,-90.0,"Trillium 120P, 120 s, 1201 V/m/s",480399000.0,1.0,M/S,100.0,2011-07-20T00:00:00,None
BL,AQDB,0.0,BHE,-20.47579,-55.69971,158.0,0.0,90.0,0.0,STS2 2P(ST22P)/MARS88(MARS/31.25/1),24000000000.0,1.0,M/S,31.0,2003-05-30T23:59:28,2004-05-31T17:47:59.968
BL,AQDB,0.0,BHN,-20.47579,-55.69971,158.0,0.0,0.0,0.0,STS2 2P(ST22P)/MARS88(MARS/31.25/1),24000000000.0,1.0,M/S,31.0,2003-05-30T23:59:28,2004-05-31T17:47:59.968
BL,AQDB,0.0,BHZ,-20.47579,-55.69971,158.0,0.0,0.0,-90.0,STS2 2P(ST22P)/MARS88(MARS/31.25/1),24000000000.0,1.0,M/S,31.0,2003-05-30T23:59:28,2004-05-31T17:47:59.968
BL,ARCA,None,HHE,-16.8467,-41.9597,390.0,0.0,90.0,0.0,Raspberry Shake,360000000.0,5.0,M/S,100.0,2019-10-29T21:04:32.7189,2023-03-23T12:00:00
BL,ARCA,None,HHE,-16.8467,-41.9597,390.0,0.0,90.0,0.0,"GEObit GEOtiny, 10 s, 195 V/M/S-GEOtiny 10s digita",327155000.0,5.0,M/S,100.0,2023-03-23T16:00:00,2024-01-27T00:00:00
BL,ARCA,None,HHE,-16.8467,-41.9597,390.0,0.0,90.0,0.0,"Trillium 120P, 120 s, 1201 V/m/s-Centaur, 40 vpp (",480400000.0,1.0,M/S,100.0,2024-01-27T16:00:00,None
BL,ARCA,None,HHN,-16.8467,-41.9597,390.0,0.0,0.0,0.0,Raspberry Shake,360000000.0,5.0,M/S,100.0,2019-10-29T21:04:32.7189,2023-03-23T12:00:00
BL,ARCA,None,HHN,-16.8467,-41.9597,390.0,0.0,0.0,0.0,"GEObit GEOtiny, 10 s, 195 V/M/S-GEOtiny 10s digita",327155000.0,5.0,M/S,100.0,2023-03-23T16:00:00,2024-01-27T00:00:00
BL,ARCA,None,HHN,-16.8467,-41.9597,390.0,0.0,0.0,0.0,"Trillium 120P, 120 s, 1201 V/m/s-Centaur, 40 vpp (",480400000.0,1.0,M/S,100.0,2024-01-27T16:00:00,None
BL,ARCA,None,HHZ,-16.8467,-41.9597,390.0,0.0,0.0,-90.0,Raspberry Shake,360000000.0,5.0,M/S,100.0,2019-10-29T21:04:32.7189,2023-03-23T12:00:00
BL,ARCA,None,HHZ,-16.8467,-41.9597,390.0,0.0,0.0,-90.0,"GEObit GEOtiny, 10 s, 195 V/M/S-GEOtiny 10s digita",327155000.0,5.0,M/S,100.0,2023-03-23T16:00:00,2024-01-27T00:00:00
BL,ARCA,None,HHZ,-16.8467,-41.9597,390.0,0.0,0.0,-90.0,"Trillium 120P, 120 s, 1201 V/m/s-Centaur, 40 vpp (",480400000.0,1.0,M/S,100.0,2024-01-27T16:00:00,None
BL,AREB,2.0,HHE,-21.3625,-46.12336,976.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/200/32),419580000.0,1.0,M/S,200.0,1997-03-26T19:43:00,1999-08-17T17:11:00
BL,AREB,2.0,HHN,-21.3625,-46.12336,976.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/200/32),419580000.0,1.0,M/S,200.0,1997-03-26T19:43:00,1999-08-17T17:11:00
BL,AREB,2.0,HHZ,-21.3625,-46.12336,976.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/200/32),419580000.0,1.0,M/S,200.0,1997-03-26T19:43:00,1999-08-17T17:11:00
BL,AREB,10.0,BHE,-21.3625,-46.12336,976.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/32),419580000.0,1.0,M/S,10.0,1997-03-26T19:43:00,1999-08-17T17:11:00
BL,AREB,10.0,BHN,-21.3625,-46.12336,976.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/32),419580000.0,1.0,M/S,10.0,1997-03-26T19:43:00,1999-08-17T17:11:00
BL,AREB,10.0,BHZ,-21.3625,-46.12336,976.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/10/32),419580000.0,1.0,M/S,10.0,1997-03-26T19:43:00,1999-08-17T17:11:00
BL,AREB,10.0,BLE,-21.3625,-46.12336,976.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/1),13111900.0,1.0,M/S,10.0,1997-12-16T14:00:00,1999-08-17T17:00:00
BL,AREB,10.0,BLN,-21.3625,-46.12336,976.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/10/1),13111900.0,1.0,M/S,10.0,1997-12-16T14:00:00,1999-08-17T17:00:00
BL,AREB,10.0,BLZ,-21.3625,-46.12336,976.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/10/1),13111900.0,1.0,M/S,10.0,1997-12-16T14:00:00,1999-08-17T17:00:00
BL,AREB,50.0,BHE,-21.3625,-46.12336,976.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,1997-05-24T20:03:00,1997-08-28T19:00:00
BL,AREB,50.0,BHE,-21.3625,-46.12336,976.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,1997-08-28T20:51:00,1999-08-17T17:11:00
BL,AREB,50.0,BHN,-21.3625,-46.12336,976.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,1997-05-24T20:03:00,1997-08-28T19:00:00
BL,AREB,50.0,BHN,-21.3625,-46.12336,976.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,1997-08-28T20:51:00,1999-08-17T17:11:00
BL,AREB,50.0,BHZ,-21.3625,-46.12336,976.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,1997-05-24T20:03:00,1997-08-28T19:00:00
BL,AREB,50.0,BHZ,-21.3625,-46.12336,976.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/50/32),419580000.0,1.0,M/S,50.0,1997-08-28T20:51:00,1999-08-17T17:11:00
BL,AREB,50.0,BLE,-21.3625,-46.12336,976.0,0.0,90.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,1997-03-26T19:43:00,1999-08-17T17:11:00
BL,AREB,50.0,BLN,-21.3625,-46.12336,976.0,0.0,0.0,0.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,1997-03-26T19:43:00,1999-08-17T17:11:00
BL,AREB,50.0,BLZ,-21.3625,-46.12336,976.0,0.0,0.0,-90.0,STS2 G1(ST2G1)/REFTEK(RT16/50/1),13111900.0,1.0,M/S,50.0,1997-03-26T19:43:00,1999-08-17T17:11:00
BL,ATDB,None,BHE,-21.290001,-42.8606,550.0,0.0,90.0,0.0,STS-2,1500000000000.0,1.0,M/S,10.0,1995-12-08T00:00:00,1997-03-13T23:59:59
BL,ATDB,None,BHN,-21.290001,-42.8606,550.0,0.0,0.0,0.0,STS-2,1500000000000.0,1.0,M/S,10.0,1995-12-08T00:00:00,1997-03-13T23:59:59
BL,ATDB,None,BHZ,-21.290001,-42.8606,550.0,0.0,0.0,-90.0,STS-2,1500000000000.0,1.0,M/S,10.0,1995-12-08T00:00:00,1997-03-13T23:59:59
